theater_name,movie_title,zipcode,theater_location,show_url,show_timing,movie_date,auditorium_no,reserved_seating,no_of_seat,ticket_price,movie_duration,no_of_seat,total,reserved,checkered,available
Regal Canyon View,Blackbird (2020),81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151577&tid=AAUEF&sdate=2020-09-15+19:00&mid=223340&from=mov_det_showtimes,7:00p,"Tuesday, Sep 15 at 7:00 PM",Auditorium 14,Reserved seating,"1
Fathom General Admission tickets",$14.00,"R, 1 Hr 37 Min","1
Fathom General Admission tickets",166,0,79,87
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151549&tid=AAUEF&sdate=2020-09-15+13:15&mid=223123&from=mov_det_showtimes,1:15p,"Tuesday, Sep 15 at 1:15 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151557&tid=AAUEF&sdate=2020-09-15+14:15&mid=223123&from=mov_det_showtimes,2:15p,"Tuesday, Sep 15 at 2:15 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151550&tid=AAUEF&sdate=2020-09-15+15:45&mid=223123&from=mov_det_showtimes,3:45p,"Tuesday, Sep 15 at 3:45 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151558&tid=AAUEF&sdate=2020-09-15+16:45&mid=223123&from=mov_det_showtimes,4:45p,"Tuesday, Sep 15 at 4:45 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",0,0,0,0
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151551&tid=AAUEF&sdate=2020-09-15+18:15&mid=223123&from=mov_det_showtimes,6:15p,"Tuesday, Sep 15 at 6:15 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151559&tid=AAUEF&sdate=2020-09-15+19:15&mid=223123&from=mov_det_showtimes,7:15p,"Tuesday, Sep 15 at 7:15 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151571&tid=AAUEF&sdate=2020-09-15+12:30&mid=219762&from=mov_det_showtimes,12:30p,"Tuesday, Sep 15 at 12:30 PM",Auditorium 12,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151562&tid=AAUEF&sdate=2020-09-15+13:00&mid=219762&from=mov_det_showtimes,1:00p,"Tuesday, Sep 15 at 1:00 PM",Auditorium 8,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",288,0,126,162
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151564&tid=AAUEF&sdate=2020-09-15+13:30&mid=219762&from=mov_det_showtimes,1:30p,"Tuesday, Sep 15 at 1:30 PM",Auditorium 9,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151552&tid=AAUEF&sdate=2020-09-15+14:00&mid=219762&from=mov_det_showtimes,2:00p,"Tuesday, Sep 15 at 2:00 PM",Auditorium 4,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151544&tid=AAUEF&sdate=2020-09-15+14:30&mid=219762&from=mov_det_showtimes,2:30p,"Tuesday, Sep 15 at 2:30 PM",Auditorium 1,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",166,0,79,87
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151560&tid=AAUEF&sdate=2020-09-15+15:00&mid=219762&from=mov_det_showtimes,3:00p,"Tuesday, Sep 15 at 3:00 PM",Auditorium 7,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",288,0,126,162
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151569&tid=AAUEF&sdate=2020-09-15+15:30&mid=219762&from=mov_det_showtimes,3:30p,"Tuesday, Sep 15 at 3:30 PM",Auditorium 11,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151572&tid=AAUEF&sdate=2020-09-15+16:00&mid=219762&from=mov_det_showtimes,4:00p,"Tuesday, Sep 15 at 4:00 PM",Auditorium 12,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151563&tid=AAUEF&sdate=2020-09-15+16:30&mid=219762&from=mov_det_showtimes,4:30p,"Tuesday, Sep 15 at 4:30 PM",Auditorium 8,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 2 Hr 30 Min","1
Adult tickets",288,0,126,162
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151565&tid=AAUEF&sdate=2020-09-15+17:00&mid=219762&from=mov_det_showtimes,5:00p,"Tuesday, Sep 15 at 5:00 PM",Auditorium 9,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 2 Hr 30 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151553&tid=AAUEF&sdate=2020-09-15+17:30&mid=219762&from=mov_det_showtimes,5:30p,"Tuesday, Sep 15 at 5:30 PM",Auditorium 4,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319151545&tid=AAUEF&sdate=2020-09-15+18:00&mid=219762&from=mov_det_showtimes,6:00p,"Tuesday, Sep 15 at 6:00 PM",Auditorium 1,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 2 Hr 30 Min","1
Adult tickets",166,0,79,87
