theater_name,movie_title,zipcode,theater_location,show_url,show_timing,movie_date,auditorium_no,reserved_seating,no_of_seat,ticket_price,movie_duration,no_of_seat,total,reserved,checkered,available
RoadHouse Cinemas Scottsdale,The Broken Hearts Gallery,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031904&tid=AAXWK&sdate=2020-09-15+12:00&mid=223123&from=mov_det_showtimes,12:00p,"Tuesday, Sep 15 at 12:00 PM",Auditorium 6,Reserved seating,"1
Senior (55+) tickets",$4.32,"PG-13, 1 Hr 48 Min","1
Senior (55+) tickets",63,0,0,63
RoadHouse Cinemas Scottsdale,The Broken Hearts Gallery,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031908&tid=AAXWK&sdate=2020-09-15+12:55&mid=223123&from=mov_det_showtimes,12:55p,"Tuesday, Sep 15 at 12:55 PM",Auditorium 1,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 1 Hr 48 Min","1
Adult (13+) tickets",46,0,0,46
RoadHouse Cinemas Scottsdale,The Broken Hearts Gallery,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031906&tid=AAXWK&sdate=2020-09-15+15:50&mid=223123&from=mov_det_showtimes,3:50p,"Tuesday, Sep 15 at 3:50 PM",Auditorium 4,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 1 Hr 48 Min","1
Adult (13+) tickets",63,0,0,63
RoadHouse Cinemas Scottsdale,The Broken Hearts Gallery,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031907&tid=AAXWK&sdate=2020-09-15+18:00&mid=223123&from=mov_det_showtimes,6:00p,"Tuesday, Sep 15 at 6:00 PM",Auditorium 1,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 1 Hr 48 Min","1
Adult (13+) tickets",46,0,0,46
RoadHouse Cinemas Scottsdale,The Broken Hearts Gallery,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031905&tid=AAXWK&sdate=2020-09-15+18:35&mid=223123&from=mov_det_showtimes,6:35p,"Tuesday, Sep 15 at 6:35 PM",Auditorium 4,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 1 Hr 48 Min","1
Adult (13+) tickets",63,0,0,63
RoadHouse Cinemas Scottsdale,Tenet,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031878&tid=AAXWK&sdate=2020-09-15+11:55&mid=219762&from=mov_det_showtimes,11:55a,"Tuesday, Sep 15 at 11:55 AM",Auditorium 2,Reserved seating,"1
Adult (13+) tickets",$5.40,"PG-13, 2 Hr 30 Min","1
Adult (13+) tickets",99,0,0,99
RoadHouse Cinemas Scottsdale,Tenet,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031875&tid=AAXWK&sdate=2020-09-15+12:25&mid=219762&from=mov_det_showtimes,12:25p,"Tuesday, Sep 15 at 12:25 PM",Auditorium 4,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 2 Hr 30 Min","1
Adult (13+) tickets",63,0,0,63
RoadHouse Cinemas Scottsdale,Tenet,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031874&tid=AAXWK&sdate=2020-09-15+13:05&mid=219762&from=mov_det_showtimes,1:05p,"Tuesday, Sep 15 at 1:05 PM",Auditorium 5,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 2 Hr 30 Min","1
Adult (13+) tickets",85,0,0,85
RoadHouse Cinemas Scottsdale,Tenet,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031871&tid=AAXWK&sdate=2020-09-15+14:25&mid=219762&from=mov_det_showtimes,2:25p,"Tuesday, Sep 15 at 2:25 PM",Auditorium 10,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 2 Hr 30 Min","1
Adult (13+) tickets",100,0,0,100
RoadHouse Cinemas Scottsdale,Tenet,85250,"9090 E. Indian Bend Road
Scottsdale, AZ 85250",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319031877&tid=AAXWK&sdate=2020-09-15+15:20&mid=219762&from=mov_det_showtimes,3:20p,"Tuesday, Sep 15 at 3:20 PM",Auditorium 2,Reserved seating,"1
Adult (13+) tickets",$6.48,"PG-13, 2 Hr 30 Min","1
Adult (13+) tickets",99,2,4,93
