theater_name,movie_title,zipcode,theater_location,show_url,show_timing,movie_date,auditorium_no,reserved_seating,no_of_seat,ticket_price,movie_duration,no_of_seat,total,reserved,checkered,available
Regal Canyon View,Blackbird (2020),81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318480135&tid=AAUEF&sdate=2020-09-14+19:00&mid=223340&from=mov_det_showtimes,7:00p,"Monday, Sep 14 at 7:00 PM",Auditorium 14,Reserved seating,"1
Fathom General Admission tickets",$14.00,"R, 1 Hr 37 Min","1
Fathom General Admission tickets",166,2,83,81
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910826&tid=AAUEF&sdate=2020-09-14+13:15&mid=223123&from=mov_det_showtimes,1:15p,"Monday, Sep 14 at 1:15 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910836&tid=AAUEF&sdate=2020-09-14+14:15&mid=223123&from=mov_det_showtimes,2:15p,"Monday, Sep 14 at 2:15 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910827&tid=AAUEF&sdate=2020-09-14+15:45&mid=223123&from=mov_det_showtimes,3:45p,"Monday, Sep 14 at 3:45 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910837&tid=AAUEF&sdate=2020-09-14+16:45&mid=223123&from=mov_det_showtimes,4:45p,"Monday, Sep 14 at 4:45 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910828&tid=AAUEF&sdate=2020-09-14+18:15&mid=223123&from=mov_det_showtimes,6:15p,"Monday, Sep 14 at 6:15 PM",Auditorium 3,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",120,2,68,50
Regal Canyon View,The Broken Hearts Gallery,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910838&tid=AAUEF&sdate=2020-09-14+19:15&mid=223123&from=mov_det_showtimes,7:15p,"Monday, Sep 14 at 7:15 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$12.15,"PG-13, 1 Hr 48 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910861&tid=AAUEF&sdate=2020-09-14+12:30&mid=219762&from=mov_det_showtimes,12:30p,"Monday, Sep 14 at 12:30 PM",Auditorium 12,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910842&tid=AAUEF&sdate=2020-09-14+13:00&mid=219762&from=mov_det_showtimes,1:00p,"Monday, Sep 14 at 1:00 PM",Auditorium 8,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",288,0,126,162
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910845&tid=AAUEF&sdate=2020-09-14+13:30&mid=219762&from=mov_det_showtimes,1:30p,"Monday, Sep 14 at 1:30 PM",Auditorium 9,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",210,0,90,120
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910830&tid=AAUEF&sdate=2020-09-14+14:00&mid=219762&from=mov_det_showtimes,2:00p,"Monday, Sep 14 at 2:00 PM",Auditorium 4,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",120,0,64,56
Regal Canyon View,Tenet,81505,"648 Market Street
Grand Junction, CO 81505",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318910820&tid=AAUEF&sdate=2020-09-14+14:30&mid=219762&from=mov_det_showtimes,2:30p,"Monday, Sep 14 at 2:30 PM",Auditorium 1,Reserved seating,"1
Adult tickets",$10.40,"PG-13, 2 Hr 30 Min","1
Adult tickets",166,0,79,87
